"Status","Year","Organisation","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Crown Office and Procurator Fiscal Service","AA/AO","Unknown","25","20","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","EO","Heterosexual / straight","355","345","30260","29450"
"In post","2023","Crown Office and Procurator Fiscal Service","EO","LGBO","25","25","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","G6/G7","Heterosexual / straight","605","575","61570","58850"
"In post","2023","Crown Office and Procurator Fiscal Service","G6/G7","LGBO","35","35","58360","55990"
"In post","2023","Crown Office and Procurator Fiscal Service","G6/G7","Undeclared","50","45","62960","65280"
"In post","2023","Crown Office and Procurator Fiscal Service","G6/G7","Unknown","50","45","66020","65280"
"In post","2023","Crown Office and Procurator Fiscal Service","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","SEO/HEO","Heterosexual / straight","445","425","37670","37940"
"In post","2023","Crown Office and Procurator Fiscal Service","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","SEO/HEO","Undeclared","25","20","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Crown Prosecution Service","AA/AO","Heterosexual / straight","1205","1120","23130","22870"
"In post","2023","Crown Prosecution Service","AA/AO","LGBO","90","85","22780","22870"
"In post","2023","Crown Prosecution Service","AA/AO","Undeclared","60","55","23280","22870"
"In post","2023","Crown Prosecution Service","AA/AO","Unknown","240","205","23430","22870"
"In post","2023","Crown Prosecution Service","EO","Heterosexual / straight","1155","1085","28320","28200"
"In post","2023","Crown Prosecution Service","EO","LGBO","95","90","28000","28150"
"In post","2023","Crown Prosecution Service","EO","Undeclared","50","50","28550","28200"
"In post","2023","Crown Prosecution Service","EO","Unknown","260","235","29000","28850"
"In post","2023","Crown Prosecution Service","G6/G7","Heterosexual / straight","2280","2145","57980","56450"
"In post","2023","Crown Prosecution Service","G6/G7","LGBO","110","105","59930","56450"
"In post","2023","Crown Prosecution Service","G6/G7","Undeclared","95","90","57910","55230"
"In post","2023","Crown Prosecution Service","G6/G7","Unknown","645","570","60380","58030"
"In post","2023","Crown Prosecution Service","SCS level","Heterosexual / straight","75","75","97220","88440"
"In post","2023","Crown Prosecution Service","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Crown Prosecution Service","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Crown Prosecution Service","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","Crown Prosecution Service","SEO/HEO","Heterosexual / straight","915","880","36580","36780"
"In post","2023","Crown Prosecution Service","SEO/HEO","LGBO","55","50","35790","33360"
"In post","2023","Crown Prosecution Service","SEO/HEO","Undeclared","50","45","36730","38560"
"In post","2023","Crown Prosecution Service","SEO/HEO","Unknown","130","125","36080","35000"
"In post","2023","Defence Electronics and Components Agency","AA/AO","Heterosexual / straight","45","45","19400","19840"
"In post","2023","Defence Electronics and Components Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","AA/AO","Undeclared","45","45","22620","22210"
"In post","2023","Defence Electronics and Components Agency","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","EO","Heterosexual / straight","80","80","28190","27250"
"In post","2023","Defence Electronics and Components Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","EO","Undeclared","150","140","29480","30060"
"In post","2023","Defence Electronics and Components Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","SEO/HEO","Heterosexual / straight","35","35","37290","34680"
"In post","2023","Defence Electronics and Components Agency","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","SEO/HEO","Undeclared","60","60","36360","34680"
"In post","2023","Defence Equipment and Support","AA/AO","Heterosexual / straight","1175","1120","22680","21770"
"In post","2023","Defence Equipment and Support","AA/AO","LGBO","60","55","22850","20860"
"In post","2023","Defence Equipment and Support","AA/AO","Undeclared","125","120","23100","22470"
"In post","2023","Defence Equipment and Support","AA/AO","Unknown","310","305","22000","20750"
"In post","2023","Defence Equipment and Support","EO","Heterosexual / straight","610","590","27420","26980"
"In post","2023","Defence Equipment and Support","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Defence Equipment and Support","EO","Undeclared","50","45","27570","27250"
"In post","2023","Defence Equipment and Support","EO","Unknown","65","65","27140","26520"
"In post","2023","Defence Equipment and Support","G6/G7","Heterosexual / straight","1595","1545","58350","55850"
"In post","2023","Defence Equipment and Support","G6/G7","LGBO","40","40","55770","54510"
