"Status","Year","Ethnicity","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Unknown","Grants Management","London","10","10","[c]","[c]"
"In post","2023","Unknown","Grants Management","Outside London","490","450","25740","22150"
"In post","2023","Unknown","Human Resources","London","335","330","45630","41870"
"In post","2023","Unknown","Human Resources","Outside London","1040","1000","34690","32000"
"In post","2023","Unknown","Human Resources","Overseas","170","165","57610","57220"
"In post","2023","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Internal Audit","London","10","10","[c]","[c]"
"In post","2023","Unknown","Internal Audit","Outside London","20","20","[c]","[c]"
"In post","2023","Unknown","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","London","690","655","53920","55110"
"In post","2023","Unknown","Legal","Outside London","760","700","42840","38760"
"In post","2023","Unknown","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","No function","London","10245","9965","41510","35760"
"In post","2023","Unknown","No function","Outside London","38165","35730","28760","25990"
"In post","2023","Unknown","No function","Overseas","380","375","53860","54220"
"In post","2023","Unknown","No function","Unknown","140","125","34050","28120"
"In post","2023","Unknown","Project Delivery","London","785","770","52660","50980"
"In post","2023","Unknown","Project Delivery","Outside London","1525","1480","40480","38520"
"In post","2023","Unknown","Project Delivery","Overseas","20","20","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","London","265","260","41450","36030"
"In post","2023","Unknown","Property","Outside London","1335","1265","31420","27570"
"In post","2023","Unknown","Property","Overseas","5","5","[c]","[c]"
"In post","2023","Unknown","Property","Unknown","5","5","[c]","[c]"
"In post","2023","Unknown","Security","London","250","250","42880","40600"
"In post","2023","Unknown","Security","Outside London","1280","1255","31980","27500"
"In post","2023","Unknown","Security","Overseas","15","15","[c]","[c]"
"In post","2023","Unknown","Security","Unknown","30","30","26950","24470"
"In post","2023","Unknown","Unknown","London","220","215","47380","43650"
"In post","2023","Unknown","Unknown","Outside London","5320","5120","36570","30870"
"In post","2023","Unknown","Unknown","Overseas","15","15","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","1700","1700","41950","40010"
"In post","2023","White","Analysis","London","2750","2660","52810","53500"
"In post","2023","White","Analysis","Outside London","4640","4430","41590","39300"
"In post","2023","White","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","White","Analysis","Unknown","5","5","[c]","[c]"
"In post","2023","White","Commercial","London","1095","1080","62730","56430"
"In post","2023","White","Commercial","Outside London","4355","4195","45060","40750"
"In post","2023","White","Commercial","Overseas","25","25","[c]","[c]"
"In post","2023","White","Commercial","Unknown","5","5","[c]","[c]"
"In post","2023","White","Communications","London","1295","1265","51440","46800"
"In post","2023","White","Communications","Outside London","1560","1475","38660","37300"
"In post","2023","White","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","White","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Counter Fraud","London","1555","1480","42720","39450"
"In post","2023","White","Counter Fraud","Outside London","10045","9240","32890","28130"
"In post","2023","White","Counter Fraud","Unknown","15","15","[c]","[c]"
"In post","2023","White","Debt","London","180","165","31520","26920"
"In post","2023","White","Debt","Outside London","4255","3790","24810","22520"
"In post","2023","White","Debt","Unknown","5","5","[c]","[c]"
"In post","2023","White","Digital, Data & Technology","London","2785","2720","52450","52730"
"In post","2023","White","Digital, Data & Technology","Outside London","14865","14375","41820","38640"
"In post","2023","White","Digital, Data & Technology","Overseas","55","55","37940","37420"
"In post","2023","White","Digital, Data & Technology","Unknown","20","20","[c]","[c]"
"In post","2023","White","Finance","London","1535","1485","53880","53550"
"In post","2023","White","Finance","Outside London","7295","6825","38630","34870"
"In post","2023","White","Finance","Overseas","35","35","48280","46280"
"In post","2023","White","Finance","Unknown","5","5","[c]","[c]"
"In post","2023","White","Grants Management","London","35","35","51420","51640"
"In post","2023","White","Grants Management","Outside London","1785","1650","26200","22150"
"In post","2023","White","Human Resources","London","1755","1695","52270","49850"
"In post","2023","White","Human Resources","Outside London","8955","8505","36980","34170"
"In post","2023","White","Human Resources","Overseas","65","65","55820","55120"
"In post","2023","White","Human Resources","Unknown","30","25","[c]","[c]"
"In post","2023","White","Internal Audit","London","95","90","58680","55210"
"In post","2023","White","Internal Audit","Outside London","410","390","46280","44160"
"In post","2023","White","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","White","Internal Audit","Unknown","15","15","[c]","[c]"
"In post","2023","White","Legal","London","2810","2640","57640","57910"
"In post","2023","White","Legal","Outside London","6110","5670","44460","46960"
"In post","2023","White","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","White","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","No function","London","31030","29815","47440","42840"
"In post","2023","White","No function","Outside London","193400","177385","31190","28120"
"In post","2023","White","No function","Overseas","1805","1800","54500","54000"
"In post","2023","White","No function","Unknown","455","425","33900","28120"
"In post","2023","White","Project Delivery","London","3045","2930","57610","55740"
"In post","2023","White","Project Delivery","Outside London","13195","12645","43830","41200"
"In post","2023","White","Project Delivery","Overseas","105","105","58080","56100"
"In post","2023","White","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2023","White","Property","London","675","650","48710","46050"
"In post","2023","White","Property","Outside London","5425","5195","36940","34300"
"In post","2023","White","Property","Overseas","50","50","47650","44230"
"In post","2023","White","Property","Unknown","35","35","48470","44940"
"In post","2023","White","Security","London","975","955","47420","43650"
"In post","2023","White","Security","Outside London","6155","5975","32560","28410"
"In post","2023","White","Security","Overseas","110","110","42320","39060"
