"Status","Year","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2023","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","35","[c]","44960","40650"
"Leaver Dept.","2023","Declared non-disabled","Office of Gas and Electricity Markets","70","[c]","37150","33400"
"Leaver Dept.","2023","Declared non-disabled","Office of Qualifications and Examinations Regulation","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Office of the Public Guardian","35","[c]","27380","25120"
"Leaver Dept.","2023","Declared non-disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Planning Inspectorate","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Registers of Scotland","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Rural Payments Agency","60","[c]","25400","22150"
"Leaver Dept.","2023","Declared non-disabled","Scottish Courts and Tribunals Service","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Scottish Forestry","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Scottish Government (excl. agencies)","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Serious Fraud Office","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Social Security Scotland","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Standards and Testing Agency","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Submarine Delivery Agency","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","The Insolvency Service","30","[c]","32260","29910"
"Leaver Dept.","2023","Declared non-disabled","The National Archives","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","UK Export Finance","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","UK Health Security Agency","60","[c]","39510","33780"
"Leaver Dept.","2023","Declared non-disabled","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","UK Space Agency","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","UK Statistics Authority","110","[c]","36590","32260"
"Leaver Dept.","2023","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Valuation Office Agency","55","[c]","32700","27740"
"Leaver Dept.","2023","Declared non-disabled","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Water Services Regulation Authority","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Welsh Government (excl. agencies)","55","[c]","43310","38160"
"Leaver Dept.","2023","Declared non-disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Building Digital UK","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Cabinet Office (excl. agencies)","40","[c]","47840","44770"
"Leaver Dept.","2023","Undeclared","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","35","[c]","45640","49080"
"Leaver Dept.","2023","Undeclared","Department for Digital, Culture, Media and Sport (excl. agencies)","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Department for Education (excl. agencies)","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Department for International Trade","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Department for Transport (excl. agencies)","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Department for Work and Pensions (excl. agencies)","125","[c]","29820","28120"
"Leaver Dept.","2023","Undeclared","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Driver and Vehicle Licensing Agency","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Driver and Vehicle Standards Agency","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Food Standards Agency","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","HM Courts and Tribunals Service","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","HM Prison and Probation Service","50","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","HM Revenue and Customs (excl. agencies)","45","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","HM Treasury (excl. agencies)","40","[c]","44880","39050"
"Leaver Dept.","2023","Undeclared","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Home Office","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Legal Aid Agency","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Ministry of Defence (excl. agencies)","35","[c]","32490","32010"
"Leaver Dept.","2023","Undeclared","Ministry of Justice (excl. agencies)","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Office of Rail and Road","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","UK Health Security Agency","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","UK Statistics Authority","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Advisory, Conciliation and Arbitration Service","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Animal and Plant Health Agency","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Attorney General's Office","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Building Digital UK","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Cabinet Office (excl. agencies)","230","[c]","46800","41870"
"Leaver Dept.","2023","Unknown","Central Civil Service Fast Stream","515","[c]","31790","32000"
"Leaver Dept.","2023","Unknown","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Charity Commission","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Criminal Injuries Compensation Authority","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Crown Commercial Service","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Crown Prosecution Service","55","[c]","35440","32060"
"Leaver Dept.","2023","Unknown","Defence Equipment and Support","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Defence Science and Technology Laboratory","60","[c]","42360","39890"
"Leaver Dept.","2023","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","80","[c]","44820","40050"
"Leaver Dept.","2023","Unknown","Department for Digital, Culture, Media and Sport (excl. agencies)","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Department for Education (excl. agencies)","195","[c]","40000","37590"
"Leaver Dept.","2023","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","75","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Department for International Trade","90","[c]","42050","38160"
"Leaver Dept.","2023","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","70","[c]","42690","36460"
"Leaver Dept.","2023","Unknown","Department for Transport (excl. agencies)","65","[c]","42640","35760"
"Leaver Dept.","2023","Unknown","Department for Work and Pensions (excl. agencies)","195","[c]","32690","28120"
"Leaver Dept.","2023","Unknown","Department of Health and Social Care (excl. agencies)","315","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Driver and Vehicle Licensing Agency","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Driver and Vehicle Standards Agency","40","[c]","28450","26780"
"Leaver Dept.","2023","Unknown","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Education and Skills Funding Agency","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","225","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Government Commercial Organisation","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Government Legal Department","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","HM Courts and Tribunals Service","85","[c]","28750","25120"
"Leaver Dept.","2023","Unknown","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","HM Prison and Probation Service","100","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","HM Revenue and Customs (excl. agencies)","450","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","HM Treasury (excl. agencies)","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Home Office","485","[c]","36070","32000"
"Leaver Dept.","2023","Unknown","Institute for Apprenticeships and Technical Education","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Intellectual Property Office","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Maritime and Coastguard Agency","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Medicines and Healthcare Products Regulatory Agency","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Ministry of Defence (excl. agencies)","105","[c]","39300","37640"
"Leaver Dept.","2023","Unknown","Ministry of Justice (excl. agencies)","85","[c]","38610","36050"
"Leaver Dept.","2023","Unknown","National Crime Agency","80","[c]","41340","38540"
"Leaver Dept.","2023","Unknown","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Northern Ireland Office","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Office of the Public Guardian","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Royal Fleet Auxiliary","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Scottish Courts and Tribunals Service","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Scottish Government (excl. agencies)","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Scottish Prison Service","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Serious Fraud Office","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Social Security Scotland","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","The Insolvency Service","35","[c]","26630","22180"
"Leaver Dept.","2023","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","UK Health Security Agency","115","[c]","44590","40650"
"Leaver Dept.","2023","Unknown","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","UK Space Agency","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","UK Statistics Authority","100","[c]","33240","31060"
"Leaver Dept.","2023","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Valuation Office Agency","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Welsh Government (excl. agencies)","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Welsh Revenue Authority","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Active Travel England","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Animal and Plant Health Agency","50","[c]","25910","25340"
"New entrant CS","2023","Declared disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Building Digital UK","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Cabinet Office (excl. agencies)","65","[c]","33680","28050"
"New entrant CS","2023","Declared disabled","Central Civil Service Fast Stream","95","[c]","28900","28840"
"New entrant CS","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Charity Commission","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Companies House","20","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Competition and Markets Authority","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Crown Office and Procurator Fiscal Service","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Crown Prosecution Service","110","[c]","29560","25600"
"New entrant CS","2023","Declared disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Defence Equipment and Support","55","[c]","32670","31600"
"New entrant CS","2023","Declared disabled","Defence Science and Technology Laboratory","45","[c]","31710","30650"
"New entrant CS","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","25","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","20","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Department for Education (excl. agencies)","25","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","120","[c]","38970","37300"
"New entrant CS","2023","Declared disabled","Department for International Trade","45","[c]","35380","35010"
"New entrant CS","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","20","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Department for Transport (excl. agencies)","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","445","[c]","26810","21690"
"New entrant CS","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Driver and Vehicle Licensing Agency","30","[c]","23120","22500"
"New entrant CS","2023","Declared disabled","Driver and Vehicle Standards Agency","25","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Food Standards Agency","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Government Commercial Organisation","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Government Legal Department","25","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Government Property Agency","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","HM Courts and Tribunals Service","175","[c]","23630","21780"
"New entrant CS","2023","Declared disabled","HM Land Registry","20","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","HM Prison and Probation Service","855","[c]","25280","23640"
"New entrant CS","2023","Declared disabled","HM Revenue and Customs (excl. agencies)","260","[c]","28110","22520"
"New entrant CS","2023","Declared disabled","HM Treasury (excl. agencies)","25","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Health and Safety Executive","30","[c]","31190","27320"
"New entrant CS","2023","Declared disabled","Home Office","175","[c]","27860","25750"
"New entrant CS","2023","Declared disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Legal Aid Agency","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Maritime and Coastguard Agency","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Medicines and Healthcare Products Regulatory Agency","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Met Office","30","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Ministry of Defence (excl. agencies)","135","[c]","30770","27500"
"New entrant CS","2023","Declared disabled","Ministry of Justice (excl. agencies)","75","[c]","34320","31270"
"New entrant CS","2023","Declared disabled","National Crime Agency","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","30","[c]","38860","34730"
"New entrant CS","2023","Declared disabled","Office of Gas and Electricity Markets","55","[c]","35140","33400"
"New entrant CS","2023","Declared disabled","Office of Qualifications and Examinations Regulation","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Office of the Public Guardian","30","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Planning Inspectorate","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Rural Payments Agency","60","[c]","22800","22150"
"New entrant CS","2023","Declared disabled","Scottish Courts and Tribunals Service","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Scottish Government (excl. agencies)","40","[c]","39790","33520"
"New entrant CS","2023","Declared disabled","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Serious Fraud Office","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Social Security Scotland","145","[c]","28380","29100"
"New entrant CS","2023","Declared disabled","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Submarine Delivery Agency","20","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","UK Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","UK Export Finance","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","UK Health Security Agency","20","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","UK Statistics Authority","105","[c]","30420","31060"
"New entrant CS","2023","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Valuation Office Agency","20","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Welsh Government (excl. agencies)","20","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Active Travel England","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Animal and Plant Health Agency","365","[c]","27340","25340"
"New entrant CS","2023","Declared non-disabled","Attorney General's Office","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Building Digital UK","25","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Cabinet Office (excl. agencies)","330","[c]","37060","32640"
"New entrant CS","2023","Declared non-disabled","Central Civil Service Fast Stream","25","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","50","[c]","28750","25970"
"New entrant CS","2023","Declared non-disabled","Charity Commission","40","[c]","33550","30170"
"New entrant CS","2023","Declared non-disabled","Companies House","215","[c]","31330","25610"
"New entrant CS","2023","Declared non-disabled","Competition and Markets Authority","140","[c]","45010","34110"
"New entrant CS","2023","Declared non-disabled","Criminal Injuries Compensation Authority","15","[c]","[c]","[c]"
