"Status","Year","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Food Standards Agency","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","SEO/HEO","Heterosexual / straight","595","580","36370","37720"
"In post","2023","Food Standards Agency","SEO/HEO","LGBO","45","45","36690","37720"
"In post","2023","Food Standards Agency","SEO/HEO","Undeclared","65","65","37540","38670"
"In post","2023","Food Standards Agency","SEO/HEO","Unknown","100","95","35540","33900"
"In post","2023","Foreign, Commonwealth and Development Office","AA/AO","Heterosexual / straight","315","305","27100","26100"
"In post","2023","Foreign, Commonwealth and Development Office","AA/AO","LGBO","30","30","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office","AA/AO","Unknown","150","145","26930","26020"
"In post","2023","Foreign, Commonwealth and Development Office","EO","Heterosexual / straight","625","600","30720","30030"
"In post","2023","Foreign, Commonwealth and Development Office","EO","LGBO","40","40","29570","29400"
"In post","2023","Foreign, Commonwealth and Development Office","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office","EO","Unknown","210","205","30540","30030"
"In post","2023","Foreign, Commonwealth and Development Office","G6/G7","Heterosexual / straight","2115","2050","61560","60070"
