"Status","Year","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Office of Qualifications and Examinations Regulation","EO","EO","Male","5","5","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","G6/G7","G6","Female","20","20","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","G6/G7","G6","Male","10","10","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","G6/G7","G7","Female","55","50","50000","49310"
"In post","2023","Office of Qualifications and Examinations Regulation","G6/G7","G7","Male","45","45","50990","49440"
"In post","2023","Office of Qualifications and Examinations Regulation","SCS level","SCS level","Female","10","5","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","SCS level","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","SEO/HEO","HEO","Female","60","55","33050","32020"
"In post","2023","Office of Qualifications and Examinations Regulation","SEO/HEO","HEO","Male","20","20","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","SEO/HEO","SEO","Female","50","50","40100","39140"
"In post","2023","Office of Qualifications and Examinations Regulation","SEO/HEO","SEO","Male","30","30","40260","39140"
"In post","2023","Office of Rail and Road","AA/AO","AO","Female","5","5","[c]","[c]"
"In post","2023","Office of Rail and Road","AA/AO","AO","Male","10","10","[c]","[c]"
"In post","2023","Office of Rail and Road","EO","EO","Female","15","15","[c]","[c]"
"In post","2023","Office of Rail and Road","EO","EO","Male","15","15","[c]","[c]"
"In post","2023","Office of Rail and Road","G6/G7","G6","Female","20","15","[c]","[c]"
"In post","2023","Office of Rail and Road","G6/G7","G6","Male","25","25","[c]","[c]"
"In post","2023","Office of Rail and Road","G6/G7","G7","Female","70","65","59200","57700"
"In post","2023","Office of Rail and Road","G6/G7","G7","Male","95","95","60000","60320"
"In post","2023","Office of Rail and Road","SCS level","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Office of Rail and Road","SCS level","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Office of Rail and Road","SEO/HEO","HEO","Female","25","25","[c]","[c]"
"In post","2023","Office of Rail and Road","SEO/HEO","HEO","Male","15","15","[c]","[c]"
"In post","2023","Office of Rail and Road","SEO/HEO","SEO","Female","25","20","[c]","[c]"
"In post","2023","Office of Rail and Road","SEO/HEO","SEO","Male","35","35","44000","44420"
"In post","2023","Office of the Secretary of State for Scotland","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","EO","EO","Female","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","EO","EO","Male","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","G6/G7","G6","Female","10","10","[c]","[c]"
