"Status","Year","Organisation","Parent_department","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Cumbria","SEO/HEO","25","20","36350","37300"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Kent","EO","25","25","28360","29150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Kent","SEO/HEO","15","15","34580","33300"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Lothian and Midlothian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Lothian and Midlothian","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Lothian and Midlothian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Lothian and Midlothian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Riding of Yorkshire","EO","15","15","26990","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Riding of Yorkshire","SEO/HEO","15","15","33940","31450"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Riding of Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Essex Haven Gateway","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Gloucestershire CC","AA/AO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Gloucestershire CC","EO","35","35","25990","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Gloucestershire CC","G6/G7","10","5","[c]","[c]"
