"Status","Year","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","80","[c]","36710","33400"
"Leaver Dept.","2023","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","15","[c]","48070","39140"
"Leaver Dept.","2023","Office of Rail and Road","Office of Rail and Road","15","[c]","44920","46740"
"Leaver Dept.","2023","Office of the Public Guardian","Ministry of Justice","50","[c]","26860","25120"
"Leaver Dept.","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","10","[c]","40510","38580"
"Leaver Dept.","2023","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Planning Inspectorate","Department for Levelling Up, Housing and Communities","15","[c]","39940","40720"
"Leaver Dept.","2023","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Registers of Scotland","Scottish Government","15","[c]","45630","37710"
"Leaver Dept.","2023","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Royal Fleet Auxiliary","Ministry of Defence","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Rural Payments Agency","Department for Environment, Food and Rural Affairs","65","[c]","25420","22150"
