"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Unknown","Legal","SCS level","55","55","94320","85200"
"In post","2023","Unknown","Legal","SEO/HEO","395","380","38670","38760"
"In post","2023","Unknown","No function","AA/AO","22570","20940","24110","22520"
"In post","2023","Unknown","No function","EO","17735","17010","29610","28120"
"In post","2023","Unknown","No function","G6/G7","6005","5835","60320","57970"
"In post","2023","Unknown","No function","SCS level","675","650","95320","85800"
"In post","2023","Unknown","No function","SEO/HEO","13055","12660","38530","37690"
"In post","2023","Unknown","No function","Unknown","3235","2935","27510","26840"
"In post","2023","Unknown","Project Delivery","AA/AO","145","140","22590","22520"
"In post","2023","Unknown","Project Delivery","EO","455","440","27950","27890"
"In post","2023","Unknown","Project Delivery","G6/G7","1470","1425","59630","57620"
"In post","2023","Unknown","Project Delivery","SCS level","155","145","91430","84160"
"In post","2023","Unknown","Project Delivery","SEO/HEO","2345","2285","37910","38020"
"In post","2023","Unknown","Project Delivery","Unknown","290","280","39870","33990"
"In post","2023","Unknown","Property","AA/AO","715","685","23020","22520"
"In post","2023","Unknown","Property","EO","365","355","28660","27140"
"In post","2023","Unknown","Property","G6/G7","170","170","59500","57920"
"In post","2023","Unknown","Property","SCS level","10","10","[c]","[c]"
"In post","2023","Unknown","Property","SEO/HEO","640","630","38350","37590"
"In post","2023","Unknown","Property","Unknown","15","15","[c]","[c]"
"In post","2023","Unknown","Security","AA/AO","1735","1705","30220","27500"
"In post","2023","Unknown","Security","EO","355","350","31640","28190"
"In post","2023","Unknown","Security","G6/G7","185","180","59880","57970"
"In post","2023","Unknown","Security","SCS level","20","20","[c]","[c]"
"In post","2023","Unknown","Security","SEO/HEO","410","400","40130","39150"
"In post","2023","Unknown","Security","Unknown","10","10","[c]","[c]"
"In post","2023","Unknown","Unknown","AA/AO","1995","1885","24320","23340"
"In post","2023","Unknown","Unknown","EO","1610","1555","30080","29450"
"In post","2023","Unknown","Unknown","G6/G7","1625","1565","63300","63900"
"In post","2023","Unknown","Unknown","SCS level","125","120","90860","85200"
"In post","2023","Unknown","Unknown","SEO/HEO","3700","3600","38300","37830"
"In post","2023","Unknown","Unknown","Unknown","1700","1700","41930","40000"
"Leaver CS","2023","Declared disabled","Analysis","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","EO","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","SEO/HEO","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","EO","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","SCS level","[c]","[c]","[c]","[c]"
