"Status","Year","Disability","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","655","635","56650","55110"
"In post","2023","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","30","25","[c]","[c]"
"In post","2023","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","1495","1435","37110","36960"
"In post","2023","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","345","325","36600","33340"
"In post","2023","Declared disabled","Unknown","Unknown","AA/AO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","EO","45","45","28180","28120"
"In post","2023","Declared disabled","Unknown","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","SEO/HEO","40","35","37120","35680"
"In post","2023","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wales","East Wales","AA/AO","550","490","23120","22520"
"In post","2023","Declared disabled","Wales","East Wales","EO","505","465","28090","28120"
"In post","2023","Declared disabled","Wales","East Wales","G6/G7","220","210","59440","57970"
"In post","2023","Declared disabled","Wales","East Wales","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","Wales","East Wales","SEO/HEO","620","590","37530","36930"
"In post","2023","Declared disabled","Wales","East Wales","Unknown","110","100","31390","30420"
"In post","2023","Declared disabled","Wales","West Wales and The Valleys","AA/AO","910","765","21870","21780"
"In post","2023","Declared disabled","Wales","West Wales and The Valleys","EO","725","655","27960","28120"
"In post","2023","Declared disabled","Wales","West Wales and The Valleys","G6/G7","60","55","61880","59480"
"In post","2023","Declared disabled","Wales","West Wales and The Valleys","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Wales","West Wales and The Valleys","SEO/HEO","325","300","37440","35000"
"In post","2023","Declared disabled","Wales","West Wales and The Valleys","Unknown","175","165","28950","26840"
"In post","2023","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","AA/AO","205","180","24260","21780"
"In post","2023","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","EO","140","130","28390","28120"
"In post","2023","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","G6/G7","25","25","[c]","[c]"
"In post","2023","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","75","70","37830","37300"
"In post","2023","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Unknown","90","85","30680","29050"
"In post","2023","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","AA/AO","385","350","24380","22220"
"In post","2023","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","EO","375","340","28610","28120"
"In post","2023","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","G6/G7","75","75","61860","57970"
"In post","2023","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","SEO/HEO","280","270","38660","37300"
"In post","2023","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","Unknown","115","105","31990","29050"
"In post","2023","Declared disabled","West Midlands (England)","West Midlands","AA/AO","730","635","22290","21780"
"In post","2023","Declared disabled","West Midlands (England)","West Midlands","EO","865","765","27790","28120"
"In post","2023","Declared disabled","West Midlands (England)","West Midlands","G6/G7","225","215","56810","54320"
"In post","2023","Declared disabled","West Midlands (England)","West Midlands","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","West Midlands (England)","West Midlands","SEO/HEO","610","580","36110","35000"
"In post","2023","Declared disabled","West Midlands (England)","West Midlands","Unknown","230","215","30740","29050"
"In post","2023","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","AA/AO","225","195","24250","22220"
"In post","2023","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","EO","225","200","28720","28120"
"In post","2023","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","SEO/HEO","85","80","37410","34850"
"In post","2023","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Unknown","85","80","30830","29050"
"In post","2023","Declared disabled","Yorkshire and The Humber","North Yorkshire","AA/AO","140","125","22980","22150"
"In post","2023","Declared disabled","Yorkshire and The Humber","North Yorkshire","EO","155","145","27400","27470"
"In post","2023","Declared disabled","Yorkshire and The Humber","North Yorkshire","G6/G7","75","75","55980","51870"
"In post","2023","Declared disabled","Yorkshire and The Humber","North Yorkshire","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Yorkshire and The Humber","North Yorkshire","SEO/HEO","175","170","35380","34320"
"In post","2023","Declared disabled","Yorkshire and The Humber","North Yorkshire","Unknown","55","50","31170","29050"
"In post","2023","Declared disabled","Yorkshire and The Humber","South Yorkshire","AA/AO","390","335","22990","21690"
