"Status","Year","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","West Midlands (England)","G6","Male","380","370","70300","68610"
"In post","2023","West Midlands (England)","G7","Female","1315","1250","54640","53750"
"In post","2023","West Midlands (England)","G7","Male","1190","1170","55850","55110"
"In post","2023","West Midlands (England)","HEO","Female","2795","2640","33850","34170"
"In post","2023","West Midlands (England)","HEO","Male","2355","2295","34820","34700"
"In post","2023","West Midlands (England)","SCS level","Female","110","105","96130","84320"
"In post","2023","West Midlands (England)","SCS level","Male","135","135","101600","94180"
"In post","2023","West Midlands (England)","SEO","Female","1875","1785","41760","41260"
"In post","2023","West Midlands (England)","SEO","Male","1660","1625","42530","41800"
"In post","2023","West Midlands (England)","Unknown","Female","1695","1560","29810","29050"
"In post","2023","West Midlands (England)","Unknown","Male","575","530","31250","29050"
"In post","2023","Yorkshire and The Humber","AA","Female","670","600","22190","23230"
"In post","2023","Yorkshire and The Humber","AA","Male","665","635","22100","23230"
"In post","2023","Yorkshire and The Humber","AO","Female","5400","4615","23700","22400"
"In post","2023","Yorkshire and The Humber","AO","Male","4570","4370","26040","22520"
"In post","2023","Yorkshire and The Humber","EO","Female","6085","5400","27880","28120"
"In post","2023","Yorkshire and The Humber","EO","Male","4965","4775","28610","28120"
"In post","2023","Yorkshire and The Humber","G6","Female","650","610","67680","66270"
"In post","2023","Yorkshire and The Humber","G6","Male","630","615","68510","66860"
"In post","2023","Yorkshire and The Humber","G7","Female","1915","1810","54060","52150"
"In post","2023","Yorkshire and The Humber","G7","Male","1765","1730","54990","54000"
"In post","2023","Yorkshire and The Humber","HEO","Female","3330","3105","33610","34170"
"In post","2023","Yorkshire and The Humber","HEO","Male","2925","2845","34340","34170"
"In post","2023","Yorkshire and The Humber","SCS level","Female","140","135","86280","78020"
"In post","2023","Yorkshire and The Humber","SCS level","Male","165","160","88870","81240"
"In post","2023","Yorkshire and The Humber","SEO","Female","2475","2335","40730","39190"
"In post","2023","Yorkshire and The Humber","SEO","Male","2080","2030","41320","39650"
"In post","2023","Yorkshire and The Humber","Unknown","Female","1830","1680","30000","29050"
"In post","2023","Yorkshire and The Humber","Unknown","Male","595","565","30280","29050"
"Leaver CS","2023","East Midlands (England)","AA","Female","80","[c]","20100","19930"
"Leaver CS","2023","East Midlands (England)","AA","Male","85","[c]","[c]","[c]"
"Leaver CS","2023","East Midlands (England)","AO","Female","500","[c]","21720","21780"
"Leaver CS","2023","East Midlands (England)","AO","Male","390","[c]","22600","21690"
"Leaver CS","2023","East Midlands (England)","EO","Female","335","[c]","27360","27570"
"Leaver CS","2023","East Midlands (England)","EO","Male","250","[c]","27890","27570"
"Leaver CS","2023","East Midlands (England)","G6","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","East Midlands (England)","G6","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","East Midlands (England)","G7","Female","45","[c]","54690","55450"
"Leaver CS","2023","East Midlands (England)","G7","Male","40","[c]","[c]","[c]"
"Leaver CS","2023","East Midlands (England)","HEO","Female","110","[c]","33540","33710"
"Leaver CS","2023","East Midlands (England)","HEO","Male","115","[c]","33680","33630"
"Leaver CS","2023","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","East Midlands (England)","SCS level","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","East Midlands (England)","SEO","Female","80","[c]","41830","41660"
"Leaver CS","2023","East Midlands (England)","SEO","Male","80","[c]","41310","40020"
"Leaver CS","2023","East Midlands (England)","Unknown","Female","120","[c]","[c]","[c]"
"Leaver CS","2023","East Midlands (England)","Unknown","Male","50","[c]","[c]","[c]"
"Leaver CS","2023","East of England","AA","Female","105","[c]","20360","19850"
"Leaver CS","2023","East of England","AA","Male","120","[c]","21680","19930"
"Leaver CS","2023","East of England","AO","Female","405","[c]","22560","22180"
