"Status","Year","Disability","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","East Kent","AA/AO","145","130","24350","25610"
"In post","2023","Declared disabled","East Kent","EO","235","215","29230","28420"
"In post","2023","Declared disabled","East Kent","G6/G7","25","20","[c]","[c]"
"In post","2023","Declared disabled","East Kent","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Kent","SEO/HEO","95","90","36820","35940"
"In post","2023","Declared disabled","East Kent","Unknown","30","30","30250","28830"
"In post","2023","Declared disabled","East Lancashire","AA/AO","15","10","[c]","[c]"
"In post","2023","Declared disabled","East Lancashire","EO","45","45","27950","28120"
"In post","2023","Declared disabled","East Lancashire","G6/G7","[c]","[c]","[c]","[c]"
