"Status","Year","Age","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","40-49","Finance","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Government Legal Department","Attorney General's Departments","15","10","39860","38860"
"In post","2023","40-49","Finance","HM Courts and Tribunals Service","Ministry of Justice","50","45","37660","35410"
"In post","2023","40-49","Finance","HM Land Registry","HM Land Registry","20","20","58720","57880"
"In post","2023","40-49","Finance","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","680","640","39720","35000"
"In post","2023","40-49","Finance","HM Treasury (excl. agencies)","HM Treasury","15","15","58460","57000"
"In post","2023","40-49","Finance","Health and Safety Executive","Department for Work and Pensions","10","10","49420","55290"
"In post","2023","40-49","Finance","Home Office","Home Office","75","70","50560","46880"
"In post","2023","40-49","Finance","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","15","15","44240","45660"
"In post","2023","40-49","Finance","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Maritime and Coastguard Agency","Department for Transport","10","10","45300","41500"
"In post","2023","40-49","Finance","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2023","40-49","Finance","Met Office","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2023","40-49","Finance","Ministry of Defence (excl. agencies)","Ministry of Defence","385","370","41760","37850"
"In post","2023","40-49","Finance","Ministry of Justice (excl. agencies)","Ministry of Justice","175","170","47580","43650"
"In post","2023","40-49","Finance","National Crime Agency","National Crime Agency","10","10","42870","38640"
"In post","2023","40-49","Finance","National Savings and Investments","Chancellor's other departments","10","10","[c]","[c]"
"In post","2023","40-49","Finance","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","10","10","[c]","[c]"
"In post","2023","40-49","Finance","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","15","15","46030","46060"
"In post","2023","40-49","Finance","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Planning Inspectorate","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2023","40-49","Finance","Registers of Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2023","40-49","Finance","Scottish Courts and Tribunals Service","Scottish Government","10","10","42460","45760"
"In post","2023","40-49","Finance","Scottish Prison Service","Scottish Government","15","15","38630","39360"
"In post","2023","40-49","Finance","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Submarine Delivery Agency","Ministry of Defence","15","15","53890","56240"
"In post","2023","40-49","Finance","The Insolvency Service","Department for Business, Energy and Industrial Strategy","10","10","47900","48050"
"In post","2023","40-49","Finance","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","UK Debt Management Office","HM Treasury","5","5","[c]","[c]"
"In post","2023","40-49","Finance","UK Export Finance","UK Export Finance","15","15","56790","48960"
"In post","2023","40-49","Finance","UK Health Security Agency","Department of Health and Social Care","55","55","45650","42590"
"In post","2023","40-49","Finance","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","UK Statistics Authority","UK Statistics Authority","25","25","44850","51060"
"In post","2023","40-49","Finance","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Valuation Office Agency","HM Revenue and Customs","10","10","53280","57990"
"In post","2023","40-49","Finance","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Water Services Regulation Authority","Water Services Regulation Authority","15","15","65600","61110"
"In post","2023","40-49","Finance","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Grants Management","Home Office","Home Office","10","10","58030","59290"
"In post","2023","40-49","Grants Management","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Grants Management","Rural Payments Agency","Department for Environment, Food and Rural Affairs","760","690","26350","22150"
"In post","2023","40-49","Grants Management","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Active Travel England","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2023","40-49","Human Resources","Building Digital UK","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Cabinet Office (excl. agencies)","Cabinet Office","250","235","44020","39820"
"In post","2023","40-49","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2023","40-49","Human Resources","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Companies House","Department for Business, Energy and Industrial Strategy","20","20","39620","35000"
"In post","2023","40-49","Human Resources","Competition and Markets Authority","Competition and Markets Authority","15","15","53500","54180"
"In post","2023","40-49","Human Resources","Crown Commercial Service","Cabinet Office","15","10","46260","41070"
"In post","2023","40-49","Human Resources","Crown Office and Procurator Fiscal Service","Scottish Government","10","10","[c]","[c]"
"In post","2023","40-49","Human Resources","Crown Prosecution Service","Attorney General's Departments","40","40","39900","33710"
"In post","2023","40-49","Human Resources","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Defence Equipment and Support","Ministry of Defence","45","40","47520","39500"
"In post","2023","40-49","Human Resources","Defence Science and Technology Laboratory","Ministry of Defence","35","30","40400","39890"
"In post","2023","40-49","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","30","30","56060","55120"
"In post","2023","40-49","Human Resources","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2023","40-49","Human Resources","Department for Education (excl. agencies)","Department for Education","45","40","46240","40140"
"In post","2023","40-49","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","100","95","45580","41810"
"In post","2023","40-49","Human Resources","Department for International Trade","Department for International Trade","20","20","49060","55370"
"In post","2023","40-49","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","15","15","41050","37060"
"In post","2023","40-49","Human Resources","Department for Transport (excl. agencies)","Department for Transport","30","30","46410","44570"
"In post","2023","40-49","Human Resources","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","360","345","37200","34170"
"In post","2023","40-49","Human Resources","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","25","25","46130","40030"
"In post","2023","40-49","Human Resources","Driver and Vehicle Licensing Agency","Department for Transport","35","35","36150","32950"
"In post","2023","40-49","Human Resources","Driver and Vehicle Standards Agency","Department for Transport","45","40","35990","34610"
"In post","2023","40-49","Human Resources","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","FCDO Services","Foreign, Commonwealth and Development Office","15","15","40160","31530"
"In post","2023","40-49","Human Resources","Food Standards Agency","Food Standards Agency","20","15","39860","32450"
"In post","2023","40-49","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","75","70","49980","44450"
