"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","London","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","London","EO","Heterosexual / straight","85","80","28600","27780"
"In post","2023","Department for Digital, Culture, Media and Sport","London","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","London","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","London","EO","Unknown","25","25","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","London","G6/G7","Heterosexual / straight","605","590","57750","55740"
"In post","2023","Department for Digital, Culture, Media and Sport","London","G6/G7","LGBO","90","90","57600","55370"
"In post","2023","Department for Digital, Culture, Media and Sport","London","G6/G7","Undeclared","55","55","57280","54640"
"In post","2023","Department for Digital, Culture, Media and Sport","London","G6/G7","Unknown","75","70","58670","57200"
"In post","2023","Department for Digital, Culture, Media and Sport","London","SCS level","Heterosexual / straight","95","90","87010","78350"
"In post","2023","Department for Digital, Culture, Media and Sport","London","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","London","SEO/HEO","Heterosexual / straight","385","380","37450","35620"
"In post","2023","Department for Digital, Culture, Media and Sport","London","SEO/HEO","LGBO","75","75","36530","35620"
"In post","2023","Department for Digital, Culture, Media and Sport","London","SEO/HEO","Undeclared","45","45","37390","35620"
"In post","2023","Department for Digital, Culture, Media and Sport","London","SEO/HEO","Unknown","65","65","38040","36890"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","EO","Unknown","10","10","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","Heterosexual / straight","80","80","54290","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","Heterosexual / straight","95","90","34730","35040"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Department for Education","London","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Department for Education","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","London","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
