"Status","Year","Age","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2023","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","125","[c]","33130","34190"
"New entrant CS","2023","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","50","[c]","28600","28480"
"New entrant CS","2023","20-29","Disclosure Scotland","Scottish Government","Outside London","10","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","260","[c]","22360","22500"
"New entrant CS","2023","20-29","Driver and Vehicle Standards Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Driver and Vehicle Standards Agency","Department for Transport","Outside London","105","[c]","25460","26780"
"New entrant CS","2023","20-29","Education Scotland","Scottish Government","Outside London","10","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Education and Skills Funding Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Education and Skills Funding Agency","Department for Education","Outside London","10","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Estyn","Estyn","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Food Standards Agency","Food Standards Agency","London","10","[c]","35230","33000"
"New entrant CS","2023","20-29","Food Standards Agency","Food Standards Agency","Outside London","50","[c]","30490","30960"
"New entrant CS","2023","20-29","Food Standards Scotland","Scottish Government","Outside London","10","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Government Actuary's Department","Chancellor's other departments","London","20","[c]","30770","30090"
"New entrant CS","2023","20-29","Government Commercial Organisation","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Government Internal Audit Agency","HM Treasury","London","10","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Government Internal Audit Agency","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Government Legal Department","Attorney General's Departments","London","135","[c]","32450","27760"
"New entrant CS","2023","20-29","Government Legal Department","Attorney General's Departments","Outside London","15","[c]","34110","29840"
"New entrant CS","2023","20-29","Government Property Agency","Cabinet Office","London","5","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Government Property Agency","Cabinet Office","Outside London","10","[c]","37340","38050"
"New entrant CS","2023","20-29","HM Courts and Tribunals Service","Ministry of Justice","London","180","[c]","27950","25480"
"New entrant CS","2023","20-29","HM Courts and Tribunals Service","Ministry of Justice","Outside London","585","[c]","22670","21780"
"New entrant CS","2023","20-29","HM Courts and Tribunals Service","Ministry of Justice","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2023","20-29","HM Land Registry","HM Land Registry","London","10","[c]","33050","31680"
"New entrant CS","2023","20-29","HM Land Registry","HM Land Registry","Outside London","105","[c]","25820","23390"
"New entrant CS","2023","20-29","HM Prison and Probation Service","Ministry of Justice","London","595","[c]","29980","28400"
"New entrant CS","2023","20-29","HM Prison and Probation Service","Ministry of Justice","Outside London","4635","[c]","25590","24070"
"New entrant CS","2023","20-29","HM Prison and Probation Service","Ministry of Justice","Unknown","15","[c]","26470","27750"
"New entrant CS","2023","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","London","240","[c]","32850","31980"
"New entrant CS","2023","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outside London","1795","[c]","25020","22520"
"New entrant CS","2023","20-29","HM Treasury (excl. agencies)","HM Treasury","London","140","[c]","28150","27820"
"New entrant CS","2023","20-29","HM Treasury (excl. agencies)","HM Treasury","Outside London","40","[c]","27020","28500"
"New entrant CS","2023","20-29","Health and Safety Executive","Department for Work and Pensions","London","5","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Health and Safety Executive","Department for Work and Pensions","Outside London","110","[c]","27140","27320"
"New entrant CS","2023","20-29","Home Office","Home Office","London","780","[c]","29610","29750"
"New entrant CS","2023","20-29","Home Office","Home Office","Outside London","2360","[c]","24190","22400"
"New entrant CS","2023","20-29","Home Office","Home Office","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Home Office","Home Office","Unknown","20","[c]","23520","22400"
"New entrant CS","2023","20-29","Institute for Apprenticeships and Technical Education","Department for Education","London","10","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Institute for Apprenticeships and Technical Education","Department for Education","Outside London","10","[c]","27090","30700"
"New entrant CS","2023","20-29","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","10","[c]","29660","30950"
"New entrant CS","2023","20-29","Legal Aid Agency","Ministry of Justice","Outside London","40","[c]","21780","21780"
"New entrant CS","2023","20-29","Maritime and Coastguard Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Maritime and Coastguard Agency","Department for Transport","Outside London","50","[c]","27070","22500"
"New entrant CS","2023","20-29","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","London","70","[c]","31480","27840"
"New entrant CS","2023","20-29","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Outside London","10","[c]","34010","33500"
"New entrant CS","2023","20-29","Met Office","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Met Office","Department for Business, Energy and Industrial Strategy","Outside London","125","[c]","24430","24150"
"New entrant CS","2023","20-29","Met Office","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","London","200","[c]","34280","34850"
"New entrant CS","2023","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","865","[c]","26940","27080"
"New entrant CS","2023","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","Overseas","10","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","London","230","[c]","33700","35410"
"New entrant CS","2023","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","155","[c]","30620","31270"
"New entrant CS","2023","20-29","National Crime Agency","National Crime Agency","London","70","[c]","36850","34340"
"New entrant CS","2023","20-29","National Crime Agency","National Crime Agency","Outside London","95","[c]","32230","30740"
"New entrant CS","2023","20-29","National Infrastructure Commission","HM Treasury","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","National Infrastructure Commission","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","National Records of Scotland","Scottish Government","Outside London","30","[c]","28160","29100"
"New entrant CS","2023","20-29","National Savings and Investments","Chancellor's other departments","London","5","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Northern Ireland Office","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Northern Ireland Office","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Office for Budget Responsibility","HM Treasury","London","5","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","London","25","[c]","32210","36000"
"New entrant CS","2023","20-29","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Outside London","70","[c]","26900","26870"
"New entrant CS","2023","20-29","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","90","[c]","31690","28000"
"New entrant CS","2023","20-29","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","70","[c]","26610","23640"
"New entrant CS","2023","20-29","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","30","[c]","28720","31310"
"New entrant CS","2023","20-29","Office of Rail and Road","Office of Rail and Road","London","10","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Office of Rail and Road","Office of Rail and Road","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Office of the Public Guardian","Ministry of Justice","Outside London","180","[c]","22360","21780"
"New entrant CS","2023","20-29","Office of the Public Guardian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Office of the Scottish Charity Regulator","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","London","5","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Outside London","25","[c]","24590","21960"
"New entrant CS","2023","20-29","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","London","5","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Registers of Scotland","Scottish Government","Outside London","10","[c]","25250","24010"
"New entrant CS","2023","20-29","Revenue Scotland","Scottish Government","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Royal Fleet Auxiliary","Ministry of Defence","Unknown","80","[c]","22070","17660"
"New entrant CS","2023","20-29","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","130","[c]","22880","22150"
"New entrant CS","2023","20-29","Scottish Courts and Tribunals Service","Scottish Government","Outside London","80","[c]","23530","23190"
"New entrant CS","2023","20-29","Scottish Fiscal Commission","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Scottish Government (excl. agencies)","Scottish Government","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Scottish Government (excl. agencies)","Scottish Government","Outside London","285","[c]","32720","29100"
"New entrant CS","2023","20-29","Scottish Prison Service","Scottish Government","Outside London","175","[c]","25960","24710"
"New entrant CS","2023","20-29","Scottish Public Pensions Agency","Scottish Government","Outside London","20","[c]","25890","25710"
"New entrant CS","2023","20-29","Serious Fraud Office","Attorney General's Departments","London","30","[c]","30400","26620"
"New entrant CS","2023","20-29","Social Security Scotland","Scottish Government","Outside London","400","[c]","26150","22180"
"New entrant CS","2023","20-29","Standards and Testing Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Standards and Testing Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Student Awards Agency for Scotland","Scottish Government","Outside London","40","[c]","22180","22180"
"New entrant CS","2023","20-29","Submarine Delivery Agency","Ministry of Defence","Outside London","110","[c]","26480","26000"
"New entrant CS","2023","20-29","Teaching Regulation Agency","Department for Education","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","20-29","The Insolvency Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","25","[c]","27250","22180"
"New entrant CS","2023","20-29","The National Archives","The National Archives","London","40","[c]","27320","24990"
"New entrant CS","2023","20-29","Transport Scotland","Scottish Government","Outside London","20","[c]","32350","31310"
"New entrant CS","2023","20-29","UK Debt Management Office","HM Treasury","London","5","[c]","[c]","[c]"
"New entrant CS","2023","20-29","UK Export Finance","UK Export Finance","London","45","[c]","37320","34000"
"New entrant CS","2023","20-29","UK Health Security Agency","Department of Health and Social Care","London","160","[c]","34650","32980"
"New entrant CS","2023","20-29","UK Health Security Agency","Department of Health and Social Care","Outside London","190","[c]","27870","24190"
"New entrant CS","2023","20-29","UK Hydrographic Office","Ministry of Defence","Outside London","50","[c]","26870","27610"
"New entrant CS","2023","20-29","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","UK Statistics Authority","UK Statistics Authority","London","20","[c]","36310","34060"
"New entrant CS","2023","20-29","UK Statistics Authority","UK Statistics Authority","Outside London","350","[c]","27780","27910"
"New entrant CS","2023","20-29","UK Supreme Court","UK Supreme Court","London","15","[c]","28940","24820"
"New entrant CS","2023","20-29","Valuation Office Agency","HM Revenue and Customs","London","30","[c]","30070","29330"
"New entrant CS","2023","20-29","Valuation Office Agency","HM Revenue and Customs","Outside London","150","[c]","23900","22520"
"New entrant CS","2023","20-29","Vehicle Certification Agency","Department for Transport","Outside London","10","[c]","26550","27240"
"New entrant CS","2023","20-29","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Water Services Regulation Authority","Water Services Regulation Authority","London","10","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Welsh Government (excl. agencies)","Welsh Government","Outside London","120","[c]","26140","22150"
"New entrant CS","2023","20-29","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Accountant in Bankruptcy","Scottish Government","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Active Travel England","Department for Transport","Outside London","10","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","10","[c]","26200","25160"
"New entrant CS","2023","30-39","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","135","[c]","27820","25920"
"New entrant CS","2023","30-39","Attorney General's Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Building Digital UK","Department for Digital, Culture, Media and Sport","London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Building Digital UK","Department for Digital, Culture, Media and Sport","Outside London","10","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Cabinet Office (excl. agencies)","Cabinet Office","London","45","[c]","52380","56110"
"New entrant CS","2023","30-39","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","70","[c]","34380","32640"
"New entrant CS","2023","30-39","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","10","[c]","34010","24330"
"New entrant CS","2023","30-39","Central Civil Service Fast Stream","Cabinet Office","London","10","[c]","28840","28840"
"New entrant CS","2023","30-39","Central Civil Service Fast Stream","Cabinet Office","Outside London","10","[c]","28840","28840"
"New entrant CS","2023","30-39","Central Civil Service Fast Stream","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","25","[c]","31600","30350"
"New entrant CS","2023","30-39","Charity Commission","Charity Commission","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Charity Commission","Charity Commission","Outside London","20","[c]","31440","30170"
"New entrant CS","2023","30-39","Companies House","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","90","[c]","31930","25610"
"New entrant CS","2023","30-39","Competition and Markets Authority","Competition and Markets Authority","London","30","[c]","57720","56500"
"New entrant CS","2023","30-39","Competition and Markets Authority","Competition and Markets Authority","Outside London","10","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Crown Commercial Service","Cabinet Office","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Crown Commercial Service","Cabinet Office","Outside London","25","[c]","34060","31640"
"New entrant CS","2023","30-39","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","40","[c]","34550","28700"
"New entrant CS","2023","30-39","Crown Prosecution Service","Attorney General's Departments","London","45","[c]","38200","40540"
"New entrant CS","2023","30-39","Crown Prosecution Service","Attorney General's Departments","Outside London","175","[c]","34510","38760"
"New entrant CS","2023","30-39","Defence Equipment and Support","Ministry of Defence","Outside London","270","[c]","34040","32500"
"New entrant CS","2023","30-39","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","160","[c]","35960","34650"
"New entrant CS","2023","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","45","[c]","41490","41060"
"New entrant CS","2023","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","60","[c]","38950","36220"
"New entrant CS","2023","30-39","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","London","30","[c]","40360","35040"
"New entrant CS","2023","30-39","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Outside London","10","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Department for Education (excl. agencies)","Department for Education","London","20","[c]","47540","41440"
"New entrant CS","2023","30-39","Department for Education (excl. agencies)","Department for Education","Outside London","80","[c]","36150","37590"
"New entrant CS","2023","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","80","[c]","46790","40830"
"New entrant CS","2023","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","160","[c]","38700","37300"
"New entrant CS","2023","30-39","Department for International Trade","Department for International Trade","London","50","[c]","44790","41550"
"New entrant CS","2023","30-39","Department for International Trade","Department for International Trade","Outside London","80","[c]","38210","36040"
"New entrant CS","2023","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","25","[c]","42870","40800"
"New entrant CS","2023","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Outside London","20","[c]","35640","31290"
"New entrant CS","2023","30-39","Department for Transport (excl. agencies)","Department for Transport","London","45","[c]","42620","36920"
"New entrant CS","2023","30-39","Department for Transport (excl. agencies)","Department for Transport","Outside London","20","[c]","40960","39820"
"New entrant CS","2023","30-39","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","55","[c]","43950","39150"
"New entrant CS","2023","30-39","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outside London","795","[c]","28270","28120"
"New entrant CS","2023","30-39","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","10","[c]","27380","24900"
"New entrant CS","2023","30-39","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","35","[c]","44210","41950"
"New entrant CS","2023","30-39","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","20","[c]","37890","38120"
"New entrant CS","2023","30-39","Disclosure Scotland","Scottish Government","Outside London","10","[c]","30020","29100"
"New entrant CS","2023","30-39","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","150","[c]","24550","22500"
"New entrant CS","2023","30-39","Driver and Vehicle Standards Agency","Department for Transport","London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Driver and Vehicle Standards Agency","Department for Transport","Outside London","115","[c]","26980","26780"
"New entrant CS","2023","30-39","Education Scotland","Scottish Government","Outside London","10","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Education and Skills Funding Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Education and Skills Funding Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Estyn","Estyn","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Food Standards Agency","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Food Standards Agency","Food Standards Agency","Outside London","40","[c]","33620","31110"
"New entrant CS","2023","30-39","Food Standards Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Government Actuary's Department","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Government Actuary's Department","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Government Commercial Organisation","Cabinet Office","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Government Commercial Organisation","Cabinet Office","Outside London","25","[c]","71110","70250"
"New entrant CS","2023","30-39","Government Internal Audit Agency","HM Treasury","London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Government Internal Audit Agency","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Government Legal Department","Attorney General's Departments","London","80","[c]","45650","52020"
"New entrant CS","2023","30-39","Government Legal Department","Attorney General's Departments","Outside London","25","[c]","48520","50460"
"New entrant CS","2023","30-39","Government Property Agency","Cabinet Office","London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Government Property Agency","Cabinet Office","Outside London","15","[c]","44710","40000"
"New entrant CS","2023","30-39","HM Courts and Tribunals Service","Ministry of Justice","London","30","[c]","30780","27570"
"New entrant CS","2023","30-39","HM Courts and Tribunals Service","Ministry of Justice","Outside London","290","[c]","23780","21780"
"New entrant CS","2023","30-39","HM Courts and Tribunals Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","HM Land Registry","HM Land Registry","London","15","[c]","36590","31680"
"New entrant CS","2023","30-39","HM Land Registry","HM Land Registry","Outside London","105","[c]","30650","23390"
"New entrant CS","2023","30-39","HM Prison and Probation Service","Ministry of Justice","London","290","[c]","31710","33800"
"New entrant CS","2023","30-39","HM Prison and Probation Service","Ministry of Justice","Outside London","2540","[c]","26450","28160"
"New entrant CS","2023","30-39","HM Prison and Probation Service","Ministry of Justice","Unknown","15","[c]","26120","24570"
"New entrant CS","2023","30-39","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","London","115","[c]","36930","32260"
"New entrant CS","2023","30-39","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outside London","1135","[c]","28610","22520"
"New entrant CS","2023","30-39","HM Treasury (excl. agencies)","HM Treasury","London","25","[c]","38250","32970"
"New entrant CS","2023","30-39","HM Treasury (excl. agencies)","HM Treasury","Outside London","15","[c]","26700","24820"
"New entrant CS","2023","30-39","Health and Safety Executive","Department for Work and Pensions","London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Health and Safety Executive","Department for Work and Pensions","Outside London","75","[c]","33820","29400"
"New entrant CS","2023","30-39","Home Office","Home Office","London","395","[c]","32330","29750"
"New entrant CS","2023","30-39","Home Office","Home Office","Outside London","1455","[c]","24980","25750"
"New entrant CS","2023","30-39","Home Office","Home Office","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Home Office","Home Office","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Institute for Apprenticeships and Technical Education","Department for Education","London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Institute for Apprenticeships and Technical Education","Department for Education","Outside London","15","[c]","39260","37710"
"New entrant CS","2023","30-39","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","30","[c]","40570","39340"
"New entrant CS","2023","30-39","Legal Aid Agency","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Legal Aid Agency","Ministry of Justice","Outside London","15","[c]","22810","21780"
"New entrant CS","2023","30-39","Maritime and Coastguard Agency","Department for Transport","Outside London","65","[c]","31160","26960"
"New entrant CS","2023","30-39","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","London","55","[c]","44570","41190"
"New entrant CS","2023","30-39","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Outside London","10","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Met Office","Department for Business, Energy and Industrial Strategy","Outside London","60","[c]","33450","32730"
"New entrant CS","2023","30-39","Ministry of Defence (excl. agencies)","Ministry of Defence","London","65","[c]","43310","38020"
"New entrant CS","2023","30-39","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","685","[c]","30570","27080"
"New entrant CS","2023","30-39","Ministry of Defence (excl. agencies)","Ministry of Defence","Overseas","20","[c]","46680","45690"
"New entrant CS","2023","30-39","Ministry of Justice (excl. agencies)","Ministry of Justice","London","105","[c]","40430","39000"
"New entrant CS","2023","30-39","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","120","[c]","35690","31270"
"New entrant CS","2023","30-39","National Crime Agency","National Crime Agency","London","30","[c]","42160","38950"
"New entrant CS","2023","30-39","National Crime Agency","National Crime Agency","Outside London","100","[c]","37290","36040"
"New entrant CS","2023","30-39","National Crime Agency","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","National Records of Scotland","Scottish Government","Outside London","20","[c]","28940","29100"
"New entrant CS","2023","30-39","National Savings and Investments","Chancellor's other departments","London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","National Savings and Investments","Chancellor's other departments","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Northern Ireland Office","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Northern Ireland Office","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","London","20","[c]","54420","46000"
"New entrant CS","2023","30-39","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Outside London","90","[c]","47800","47750"
"New entrant CS","2023","30-39","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","90","[c]","48450","46160"
"New entrant CS","2023","30-39","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","70","[c]","37270","33750"
"New entrant CS","2023","30-39","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","25","[c]","38420","38380"
"New entrant CS","2023","30-39","Office of Rail and Road","Office of Rail and Road","London","10","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Office of Rail and Road","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Office of the Public Guardian","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Office of the Public Guardian","Ministry of Justice","Outside London","60","[c]","22260","21780"
"New entrant CS","2023","30-39","Office of the Scottish Charity Regulator","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Planning Inspectorate","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Outside London","30","[c]","37190","41840"
"New entrant CS","2023","30-39","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
