"Status","Year","Function_of_post","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Security","HM Prison and Probation Service","Ministry of Justice","Security","10","10","40730","37680"
"In post","2023","Security","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Security","215","205","45100","42510"
"In post","2023","Security","Health and Safety Executive","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2023","Security","Home Office","Home Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","Security","Home Office","Home Office","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Security","Home Office","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Security","Home Office","Home Office","Security","340","325","33140","29980"
"In post","2023","Security","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Security","15","15","43920","45290"
"In post","2023","Security","Legal Aid Agency","Ministry of Justice","Security","5","5","[c]","[c]"
"In post","2023","Security","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Security","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2023","Security","Met Office","Department for Business, Energy and Industrial Strategy","Security","20","20","43940","43650"
"In post","2023","Security","Ministry of Defence (excl. agencies)","Ministry of Defence","Security","6340","6210","31960","27500"
"In post","2023","Security","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Security","Ministry of Justice (excl. agencies)","Ministry of Justice","Security","80","80","47250","43650"
"In post","2023","Security","National Crime Agency","National Crime Agency","Security","100","100","42650","40440"
"In post","2023","Security","National Savings and Investments","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2023","Security","Northern Ireland Office","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"In post","2023","Security","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Digital, Data and Technology","25","25","65910","70500"
"In post","2023","Security","Office of the Public Guardian","Ministry of Justice","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Security","Office of the Public Guardian","Ministry of Justice","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Security","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Security","Registers of Scotland","Scottish Government","Security","10","10","[c]","[c]"
"In post","2023","Security","Serious Fraud Office","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Security","Serious Fraud Office","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2023","Security","Submarine Delivery Agency","Ministry of Defence","Security","40","40","41000","39000"
"In post","2023","Security","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2023","Security","UK Export Finance","UK Export Finance","Security","5","5","[c]","[c]"
"In post","2023","Security","UK Hydrographic Office","Ministry of Defence","Security","15","15","39430","43890"
"In post","2023","Security","UK Space Agency","Department for Business, Energy and Industrial Strategy","Security","10","10","[c]","[c]"
"In post","2023","Security","UK Statistics Authority","UK Statistics Authority","Security","60","55","41390","38440"
"In post","2023","Security","Water Services Regulation Authority","Water Services Regulation Authority","Security","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Accountant in Bankruptcy","Scottish Government","Unknown","125","115","34020","31940"
"In post","2023","Unknown","Building Digital UK","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Central Civil Service Fast Stream","Cabinet Office","Science and Engineering","100","100","30250","30130"
"In post","2023","Unknown","Central Civil Service Fast Stream","Cabinet Office","Unknown","800","800","30670","30130"
"In post","2023","Unknown","Crown Prosecution Service","Attorney General's Departments","Policy","60","60","51100","55850"
"In post","2023","Unknown","Defence Science and Technology Laboratory","Ministry of Defence","Knowledge and Information Management","15","15","35490","30650"
"In post","2023","Unknown","Defence Science and Technology Laboratory","Ministry of Defence","Other","425","415","49660","49260"
"In post","2023","Unknown","Defence Science and Technology Laboratory","Ministry of Defence","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Defence Science and Technology Laboratory","Ministry of Defence","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Defence Science and Technology Laboratory","Ministry of Defence","Psychology","30","25","47210","49260"
"In post","2023","Unknown","Defence Science and Technology Laboratory","Ministry of Defence","Science and Engineering","1815","1750","41010","39890"
"In post","2023","Unknown","Department for International Trade","Department for International Trade","Unknown","25","25","45650","35010"
"In post","2023","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Policy","870","830","46070","41050"
"In post","2023","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","420","395","33170","28120"
"In post","2023","Unknown","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","50","50","47090","41950"
"In post","2023","Unknown","Disclosure Scotland","Scottish Government","Unknown","365","345","31330","24890"
"In post","2023","Unknown","Education Scotland","Scottish Government","Unknown","360","350","59670","65280"
"In post","2023","Unknown","FCDO Services","Foreign, Commonwealth and Development Office","Other","25","25","40870","29860"
"In post","2023","Unknown","FCDO Services","Foreign, Commonwealth and Development Office","Security","30","30","32340","29530"
"In post","2023","Unknown","Food Standards Agency","Food Standards Agency","Other","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Food Standards Scotland","Scottish Government","Unknown","290","280","38730","34730"
"In post","2023","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Unknown","200","195","49880","51460"
"In post","2023","Unknown","Forestry and Land Scotland","Scottish Government","Unknown","1105","1065","34400","32220"
"In post","2023","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","20","20","38630","35000"
"In post","2023","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Operational Delivery","165","160","48250","51460"
"In post","2023","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Policy","20","15","50200","51460"
"In post","2023","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Unknown","25","25","48980","39000"
"In post","2023","Unknown","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Medicine","40","35","60120","55240"
"In post","2023","Unknown","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Other","40","40","44700","34110"
"In post","2023","Unknown","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Policy","5","5","[c]","[c]"
"In post","2023","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Other","10","10","27770","25140"
"In post","2023","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Policy","10","10","97470","93140"
"In post","2023","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","35","35","36640","36460"
"In post","2023","Unknown","National Records of Scotland","Scottish Government","Unknown","455","430","38070","34730"
"In post","2023","Unknown","Northern Ireland Office","Northern Ireland Office","Economics","5","5","[c]","[c]"
"In post","2023","Unknown","Northern Ireland Office","Northern Ireland Office","Operational Delivery","50","50","42730","40060"
"In post","2023","Unknown","Northern Ireland Office","Northern Ireland Office","Other","15","15","67530","55720"
"In post","2023","Unknown","Northern Ireland Office","Northern Ireland Office","Policy","60","55","47720","43650"
