"Status","Year","Age","Disability","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data and Technology","AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Economics","EO","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","AO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","AO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Operational Delivery","AA","95","90","22140","23230"
"In post","2023","16-19","Declared non-disabled","Operational Delivery","AO","305","295","24380","22520"
"In post","2023","16-19","Declared non-disabled","Operational Delivery","EO","20","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Operational Delivery","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other","AO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Policy","AO","5","5","[c]","[c]"
