"Status","Year","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Devon","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Devon","SEO/HEO","190","[c]","38820","39460"
"Leaver CS","2023","Devon","Unknown","55","[c]","36170","37300"
"Leaver CS","2023","Dorset and Somerset","AA/AO","220","[c]","22050","21690"
"Leaver CS","2023","Dorset and Somerset","EO","150","[c]","27890","27570"
"Leaver CS","2023","Dorset and Somerset","G6/G7","20","[c]","61300","56920"
"Leaver CS","2023","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Dorset and Somerset","SEO/HEO","125","[c]","38050","35530"
"Leaver CS","2023","Dorset and Somerset","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2023","East Anglia","AA/AO","620","[c]","22730","21780"
"Leaver CS","2023","East Anglia","EO","300","[c]","27760","27570"
"Leaver CS","2023","East Anglia","G6/G7","60","[c]","59640","54400"
"Leaver CS","2023","East Anglia","SCS level","10","[c]","110540","117400"
"Leaver CS","2023","East Anglia","SEO/HEO","230","[c]","37790","36400"
"Leaver CS","2023","East Anglia","Unknown","105","[c]","[c]","[c]"
"Leaver CS","2023","East Wales","AA/AO","635","[c]","21470","21500"
"Leaver CS","2023","East Wales","EO","340","[c]","27350","27570"
"Leaver CS","2023","East Wales","G6/G7","150","[c]","59560","59410"
"Leaver CS","2023","East Wales","SCS level","20","[c]","96040","83390"
"Leaver CS","2023","East Wales","SEO/HEO","340","[c]","37550","37680"
"Leaver CS","2023","East Wales","Unknown","55","[c]","[c]","[c]"
"Leaver CS","2023","East Yorkshire and Northern Lincolnshire","AA/AO","215","[c]","23110","21780"
"Leaver CS","2023","East Yorkshire and Northern Lincolnshire","EO","105","[c]","27480","27740"
"Leaver CS","2023","East Yorkshire and Northern Lincolnshire","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2023","East Yorkshire and Northern Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","East Yorkshire and Northern Lincolnshire","SEO/HEO","40","[c]","35920","34910"
"Leaver CS","2023","East Yorkshire and Northern Lincolnshire","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2023","Eastern Scotland","AA/AO","705","[c]","23720","22520"
"Leaver CS","2023","Eastern Scotland","EO","390","[c]","30960","29450"
"Leaver CS","2023","Eastern Scotland","G6/G7","145","[c]","67370","65280"
"Leaver CS","2023","Eastern Scotland","SCS level","15","[c]","92780","85200"
"Leaver CS","2023","Eastern Scotland","SEO/HEO","355","[c]","41260","41090"
"Leaver CS","2023","Essex","AA/AO","205","[c]","23280","22400"
"Leaver CS","2023","Essex","EO","210","[c]","29190","29290"
"Leaver CS","2023","Essex","G6/G7","30","[c]","66820","63500"
"Leaver CS","2023","Essex","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","Essex","SEO/HEO","105","[c]","38940","39560"
"Leaver CS","2023","Essex","Unknown","60","[c]","[c]","[c]"
"Leaver CS","2023","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","715","[c]","22030","21500"
"Leaver CS","2023","Gloucestershire, Wiltshire and Bath/Bristol area","EO","540","[c]","27710","27570"
"Leaver CS","2023","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","355","[c]","58920","56180"
"Leaver CS","2023","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","30","[c]","111540","96350"
"Leaver CS","2023","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","1035","[c]","37600","37420"
"Leaver CS","2023","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","195","[c]","42410","37670"
"Leaver CS","2023","Greater Manchester","AA/AO","830","[c]","21350","21500"
"Leaver CS","2023","Greater Manchester","EO","400","[c]","26950","27570"
"Leaver CS","2023","Greater Manchester","G6/G7","180","[c]","59180","56770"
"Leaver CS","2023","Greater Manchester","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2023","Greater Manchester","SEO/HEO","380","[c]","36480","37300"
"Leaver CS","2023","Greater Manchester","Unknown","115","[c]","[c]","[c]"
"Leaver CS","2023","Hampshire and Isle of Wight","AA/AO","795","[c]","21910","21200"
"Leaver CS","2023","Hampshire and Isle of Wight","EO","340","[c]","27680","27420"
"Leaver CS","2023","Hampshire and Isle of Wight","G6/G7","150","[c]","59510","55080"
"Leaver CS","2023","Hampshire and Isle of Wight","SCS level","15","[c]","101720","93000"
"Leaver CS","2023","Hampshire and Isle of Wight","SEO/HEO","410","[c]","37360","37420"
"Leaver CS","2023","Hampshire and Isle of Wight","Unknown","55","[c]","[c]","[c]"
"Leaver CS","2023","Herefordshire, Worcestershire and Warwickshire","AA/AO","270","[c]","22510","21690"
"Leaver CS","2023","Herefordshire, Worcestershire and Warwickshire","EO","110","[c]","27820","27570"
"Leaver CS","2023","Herefordshire, Worcestershire and Warwickshire","G6/G7","15","[c]","66880","65400"
"Leaver CS","2023","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","45","[c]","37740","37350"
"Leaver CS","2023","Herefordshire, Worcestershire and Warwickshire","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2023","Highlands and Islands","AA/AO","110","[c]","23960","22710"
"Leaver CS","2023","Highlands and Islands","EO","55","[c]","29830","28120"
"Leaver CS","2023","Highlands and Islands","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Highlands and Islands","SEO/HEO","20","[c]","36040","34510"
"Leaver CS","2023","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Inner London - East","AA/AO","350","[c]","24170","24660"
"Leaver CS","2023","Inner London - East","EO","505","[c]","30720","31060"
"Leaver CS","2023","Inner London - East","G6/G7","495","[c]","62360","59870"
"Leaver CS","2023","Inner London - East","SCS level","90","[c]","99390","92420"
"Leaver CS","2023","Inner London - East","SEO/HEO","560","[c]","39810","40120"
"Leaver CS","2023","Inner London - East","Unknown","105","[c]","[c]","[c]"
"Leaver CS","2023","Inner London - West","AA/AO","750","[c]","24270","24500"
"Leaver CS","2023","Inner London - West","EO","890","[c]","28620","28780"
"Leaver CS","2023","Inner London - West","G6/G7","1875","[c]","60270","57630"
"Leaver CS","2023","Inner London - West","SCS level","360","[c]","98080","86700"
"Leaver CS","2023","Inner London - West","SEO/HEO","2115","[c]","38320","38160"
