"Status","Year","Parent_department","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Cabinet Office","North East (England)","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","North East (England)","SEO/HEO","Unknown","35","35","30500","29550"
"In post","2023","Cabinet Office","North West (England)","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Cabinet Office","North West (England)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","North West (England)","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","Cabinet Office","North West (England)","EO","Heterosexual / straight","60","60","26060","26410"
"In post","2023","Cabinet Office","North West (England)","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office","North West (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","North West (England)","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Cabinet Office","North West (England)","G6/G7","Heterosexual / straight","305","300","60210","56000"
"In post","2023","Cabinet Office","North West (England)","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2023","Cabinet Office","North West (England)","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2023","Cabinet Office","North West (England)","G6/G7","Unknown","75","75","60830","56280"
"In post","2023","Cabinet Office","North West (England)","SCS level","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Cabinet Office","North West (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","North West (England)","SCS level","Unknown","5","5","[c]","[c]"
"In post","2023","Cabinet Office","North West (England)","SEO/HEO","Heterosexual / straight","315","310","36450","38130"
"In post","2023","Cabinet Office","North West (England)","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2023","Cabinet Office","North West (England)","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Cabinet Office","North West (England)","SEO/HEO","Unknown","145","145","32760","31320"
"In post","2023","Cabinet Office","Northern Ireland","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Northern Ireland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Northern Ireland","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Northern Ireland","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
