"Status","Year","Age","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","65+","EO","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","65+","EO","Undeclared","150","[c]","28660","28120"
"Leaver CS","2023","65+","EO","Unknown","285","[c]","28840","28120"
"Leaver CS","2023","65+","G6/G7","Heterosexual / straight","185","[c]","64230","61640"
"Leaver CS","2023","65+","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","G6/G7","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2023","65+","G6/G7","Unknown","90","[c]","62300","60060"
"Leaver CS","2023","65+","SCS level","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2023","65+","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","SCS level","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","SCS level","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","65+","SEO/HEO","Heterosexual / straight","465","[c]","39430","38160"
"Leaver CS","2023","65+","SEO/HEO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","65+","SEO/HEO","Undeclared","90","[c]","40510","39420"
"Leaver CS","2023","65+","SEO/HEO","Unknown","210","[c]","38760","38330"
"Leaver CS","2023","65+","Unknown","Heterosexual / straight","165","[c]","[c]","[c]"
"Leaver CS","2023","65+","Unknown","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","Unknown","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","65+","Unknown","Unknown","55","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AA/AO","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AA/AO","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","EO","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","EO","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","EO","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","EO","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","G6/G7","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","G6/G7","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SEO/HEO","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SEO/HEO","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SEO/HEO","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
