"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","South East (England)","Surrey, East and West Sussex","East Surrey","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Surrey, East and West Sussex","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Surrey, East and West Sussex","West Surrey","30","30","48260","40490"
"In post","2023","Commercial","South East (England)","Surrey, East and West Sussex","West Sussex (North East)","20","20","33060","28660"
"In post","2023","Commercial","South East (England)","Surrey, East and West Sussex","West Sussex (South West)","5","5","[c]","[c]"
"In post","2023","Commercial","South West (England)","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Devon","Devon CC","170","160","44610","45150"
"In post","2023","Commercial","South West (England)","Devon","Plymouth","30","25","41710","41810"
"In post","2023","Commercial","South West (England)","Devon","Torbay","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Dorset and Somerset","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Dorset and Somerset","Dorset","10","10","[c]","[c]"
"In post","2023","Commercial","South West (England)","Dorset and Somerset","Somerset CC","40","40","39350","35820"
"In post","2023","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","1245","1195","43250","42620"
"In post","2023","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","85","80","49600","40720"
"In post","2023","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","10","5","[c]","[c]"
"In post","2023","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","5","5","[c]","[c]"
"In post","2023","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","250","240","43150","35800"
"In post","2023","Commercial","Unknown","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","Wales","East Wales","Cardiff and Vale of Glamorgan","35","35","45180","39690"
"In post","2023","Commercial","Wales","East Wales","Flintshire and Wrexham","25","25","33040","31410"
"In post","2023","Commercial","Wales","East Wales","Monmouthshire and Newport","115","115","40360","37760"
"In post","2023","Commercial","Wales","East Wales","Powys","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","West Wales and The Valleys","Bridgend and Neath Port Talbot","5","5","[c]","[c]"
"In post","2023","Commercial","Wales","West Wales and The Valleys","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","West Wales and The Valleys","Gwynedd","[c]","[c]","[c]","[c]"
